"Time","capability"
2026-01-15 13:05:09,1.15 km/h
2026-01-15 13:05:33,0.900 km/h
2026-01-15 13:05:57,0 km/h
2026-01-15 13:06:21,0.890 km/h
2026-01-15 13:06:44,47.3 km/h
2026-01-15 13:45:43,0 km/h
2026-01-15 13:46:06,0.570 km/h
2026-01-15 13:46:30,0 km/h
2026-01-15 13:46:54,0 km/h
2026-01-15 13:47:18,0 km/h
2026-01-15 13:47:42,0 km/h
2026-01-15 13:48:05,0 km/h
2026-01-15 13:48:29,0 km/h
2026-01-15 13:48:53,2.33 km/h
2026-01-15 13:49:17,5.12 km/h
2026-01-15 13:49:40,6.21 km/h
2026-01-15 13:50:04,43.3 km/h
2026-01-15 13:51:15,14.2 km/h
2026-01-15 13:51:39,17.0 km/h
2026-01-15 13:52:03,12.3 km/h
2026-01-15 13:52:27,32.1 km/h
2026-01-15 13:52:50,0 km/h
2026-01-15 13:53:14,0 km/h
2026-01-15 13:53:38,25.3 km/h
2026-01-15 13:54:02,15.0 km/h
2026-01-15 13:54:25,15.1 km/h
2026-01-15 13:54:49,12.4 km/h
2026-01-15 13:55:13,6.66 km/h
2026-01-15 13:55:37,40.3 km/h
2026-01-15 13:56:00,0 km/h
2026-01-15 13:56:24,7.11 km/h
2026-01-15 13:56:48,22.8 km/h
2026-01-15 13:57:12,6.74 km/h
2026-01-15 13:57:36,20.6 km/h
2026-01-15 13:57:59,0 km/h
2026-01-15 13:58:23,0 km/h
2026-01-15 13:58:47,20.2 km/h
2026-01-15 13:59:11,29.3 km/h
2026-01-15 13:59:34,16.0 km/h
2026-01-15 13:59:58,21.0 km/h
2026-01-15 14:00:22,22.5 km/h
2026-01-15 14:00:46,5.75 km/h
2026-01-15 14:01:09,0 km/h
2026-01-15 14:01:33,7.61 km/h
2026-01-15 14:01:57,30.4 km/h
2026-01-15 14:02:21,22.8 km/h
2026-01-15 14:02:45,22.1 km/h
2026-01-15 14:03:08,20.8 km/h
2026-01-15 14:03:32,0 km/h
2026-01-15 14:03:56,0 km/h
2026-01-15 14:04:19,1.23 km/h
2026-01-15 14:04:43,0.760 km/h
2026-01-15 14:05:07,0 km/h
2026-01-15 14:05:31,0.320 km/h
2026-01-15 14:05:55,0.310 km/h
2026-01-15 14:06:18,0 km/h
2026-01-15 14:06:42,0.920 km/h
2026-01-15 14:07:23,0 km/h
2026-01-15 14:07:42,0 km/h
2026-01-15 14:08:33,0 km/h
2026-01-15 14:09:22,0 km/h
2026-01-15 14:09:41,0 km/h
2026-01-15 14:10:00,0 km/h
2026-01-15 14:10:19,0 km/h
2026-01-15 14:10:38,0 km/h
2026-01-15 14:10:57,0 km/h
2026-01-15 14:11:16,0 km/h
2026-01-15 14:11:35,0 km/h
2026-01-15 14:11:54,0 km/h
2026-01-15 14:12:13,0 km/h
2026-01-15 14:12:32,0 km/h
2026-01-15 14:12:51,0 km/h
2026-01-15 14:13:10,0 km/h
2026-01-15 14:13:29,0 km/h
2026-01-15 14:13:48,0 km/h
2026-01-15 14:14:07,0 km/h
2026-01-15 14:14:26,0 km/h
2026-01-15 14:22:37,0 km/h
2026-01-15 14:23:00,3.03 km/h
2026-01-15 14:23:24,0 km/h
2026-01-15 14:23:48,11.0 km/h
2026-01-15 14:24:12,17.3 km/h
2026-01-15 14:24:36,19.3 km/h
2026-01-15 14:24:59,30.2 km/h
2026-01-15 14:25:23,31.2 km/h
2026-01-15 14:25:47,16.1 km/h
2026-01-15 14:26:11,23 km/h
2026-01-15 14:26:34,47.6 km/h
2026-01-15 14:26:58,42.0 km/h
2026-01-15 14:27:22,0 km/h
2026-01-15 14:27:46,16.1 km/h
2026-01-15 14:28:09,31.8 km/h
2026-01-15 14:28:33,48.3 km/h
2026-01-15 14:28:57,44.7 km/h
2026-01-15 14:29:21,0 km/h
2026-01-15 14:29:44,15.5 km/h
2026-01-15 14:30:08,40.2 km/h
2026-01-15 14:30:32,31.7 km/h
2026-01-15 14:32:07,68.6 km/h
2026-01-15 14:32:31,70.2 km/h
2026-01-15 14:32:54,69.1 km/h
2026-01-15 14:33:18,65.9 km/h
2026-01-15 14:33:42,40.8 km/h
2026-01-15 14:34:06,0 km/h
2026-01-15 14:34:29,0 km/h
2026-01-15 14:34:53,25.2 km/h
2026-01-15 14:35:17,1.43 km/h
2026-01-15 14:35:41,10.5 km/h
2026-01-15 14:36:05,32.4 km/h
2026-01-15 14:36:28,22.9 km/h
2026-01-15 14:36:52,38.7 km/h
2026-01-15 14:37:16,27.1 km/h
2026-01-15 14:37:40,18.9 km/h
2026-01-15 14:38:03,33.2 km/h
2026-01-15 14:38:27,2.61 km/h
2026-01-15 14:38:51,2.06 km/h
2026-01-15 14:39:14,0 km/h
2026-01-15 14:39:33,0 km/h
2026-01-15 14:39:52,0 km/h
2026-01-15 14:40:11,0 km/h
2026-01-15 14:40:30,0 km/h
2026-01-15 14:40:49,0 km/h
2026-01-15 14:41:08,0 km/h
2026-01-15 14:41:27,0 km/h
2026-01-15 14:41:46,0 km/h
2026-01-15 14:42:05,0 km/h
2026-01-15 14:42:41,0 km/h
2026-01-15 14:43:05,0 km/h
2026-01-15 14:43:29,0 km/h
2026-01-15 14:43:52,0 km/h
2026-01-15 14:44:16,0 km/h
2026-01-15 14:44:40,0 km/h
2026-01-15 14:45:03,0 km/h
2026-01-15 14:45:27,0 km/h
2026-01-15 14:45:51,0 km/h
2026-01-15 14:46:15,0 km/h
2026-01-15 14:46:38,0 km/h
2026-01-15 14:47:02,0 km/h
2026-01-15 14:47:26,0 km/h
2026-01-15 14:47:50,0 km/h
2026-01-15 14:48:14,0 km/h
2026-01-15 14:48:37,0 km/h
2026-01-15 14:49:09,0 km/h
2026-01-15 14:49:28,0 km/h
2026-01-15 14:49:47,0 km/h
2026-01-15 14:50:25,2.76 km/h
2026-01-15 14:50:49,0 km/h
2026-01-15 14:51:12,0.920 km/h
2026-01-15 14:51:36,0.740 km/h
2026-01-15 14:52:06,0 km/h
2026-01-15 14:52:26,0 km/h
2026-01-15 14:52:44,0 km/h
2026-01-15 14:53:03,0 km/h
2026-01-15 14:53:23,0 km/h
2026-01-15 14:53:41,0 km/h
2026-01-15 14:54:01,0 km/h
2026-01-15 14:54:20,0 km/h
2026-01-15 14:54:39,0 km/h
2026-01-15 14:54:58,0 km/h
2026-01-15 14:55:17,0 km/h
2026-01-15 14:55:36,0 km/h
2026-01-15 14:55:55,0 km/h
2026-01-15 14:56:14,0 km/h
2026-01-15 14:56:33,0 km/h
2026-01-15 14:56:52,0 km/h
2026-01-15 15:03:23,0 km/h
2026-01-15 15:03:47,0 km/h
2026-01-15 15:04:10,0 km/h
2026-01-15 15:04:34,0 km/h
2026-01-15 15:04:58,0 km/h
2026-01-15 15:05:21,0 km/h
2026-01-15 15:05:45,0 km/h
2026-01-15 15:06:09,0 km/h
2026-01-15 15:06:33,0 km/h
2026-01-15 15:06:57,0 km/h
2026-01-15 15:07:20,0 km/h
2026-01-15 15:07:44,0 km/h
2026-01-15 15:08:08,0 km/h
2026-01-15 15:08:32,0 km/h
2026-01-15 15:08:55,0 km/h
2026-01-15 15:09:19,0 km/h
2026-01-15 15:09:43,0 km/h
2026-01-15 15:10:07,0 km/h
2026-01-15 15:10:30,0 km/h
2026-01-15 15:10:54,0 km/h
2026-01-15 15:11:18,0 km/h
2026-01-15 15:11:42,0 km/h
2026-01-15 15:12:05,0 km/h
2026-01-15 15:12:29,0 km/h
2026-01-15 15:12:53,0 km/h
2026-01-15 15:13:17,0 km/h
2026-01-15 15:13:40,0 km/h
2026-01-15 15:14:04,0 km/h
2026-01-15 15:14:28,0 km/h
2026-01-15 15:14:52,0 km/h
2026-01-15 15:15:20,0 km/h
2026-01-15 15:15:39,0 km/h
2026-01-15 15:15:58,0 km/h
2026-01-15 15:16:17,0 km/h
2026-01-15 15:16:36,0 km/h
2026-01-15 15:16:55,0 km/h
2026-01-15 15:17:14,0 km/h
2026-01-15 15:17:33,0 km/h
2026-01-15 15:17:52,0 km/h
2026-01-15 15:18:11,0 km/h
2026-01-15 15:18:31,0 km/h
2026-01-15 15:18:49,0 km/h
2026-01-15 15:19:08,0 km/h
2026-01-15 15:19:28,0 km/h
2026-01-15 15:19:46,0 km/h
2026-01-15 15:20:05,0 km/h
2026-01-15 16:08:15,0 km/h
2026-01-15 16:08:54,0 km/h
2026-01-15 16:09:25,0 km/h
2026-01-15 16:09:44,0 km/h
2026-01-15 16:10:03,0 km/h
2026-01-15 16:10:22,0 km/h
2026-01-15 16:10:47,0 km/h
2026-01-15 16:11:10,0 km/h
2026-01-15 16:11:34,0 km/h
2026-01-15 16:11:58,0 km/h
2026-01-15 16:12:22,0 km/h
2026-01-15 16:12:45,0 km/h
2026-01-15 16:13:09,0 km/h
2026-01-15 16:13:33,0 km/h
2026-01-15 16:13:57,0 km/h
2026-01-15 16:14:20,0 km/h
2026-01-15 16:14:44,0 km/h
2026-01-15 16:15:08,0 km/h
2026-01-15 16:15:32,0 km/h
2026-01-15 16:15:56,0 km/h
2026-01-15 16:16:19,0 km/h
2026-01-15 16:16:43,0 km/h
2026-01-15 16:17:07,0 km/h
2026-01-15 16:17:31,0 km/h
2026-01-15 16:17:54,0 km/h
2026-01-15 16:18:18,0 km/h
2026-01-15 16:18:42,0 km/h
2026-01-15 16:19:06,0 km/h
2026-01-15 16:19:29,0 km/h
2026-01-15 16:19:53,0 km/h
2026-01-15 16:20:17,0 km/h
2026-01-15 16:20:41,0 km/h
2026-01-15 16:21:04,0 km/h
2026-01-15 16:21:28,0 km/h
2026-01-15 16:21:52,0 km/h
2026-01-15 16:22:16,0 km/h
2026-01-15 16:22:39,0 km/h
2026-01-15 16:23:03,0 km/h
2026-01-15 16:23:27,0 km/h
2026-01-15 16:23:51,0 km/h
2026-01-15 16:24:26,0 km/h
2026-01-15 16:24:50,0 km/h
2026-01-15 16:25:13,0 km/h
2026-01-15 16:25:38,0 km/h
2026-01-15 16:25:57,0 km/h
2026-01-15 16:26:16,0 km/h
2026-01-15 16:26:35,0 km/h
2026-01-15 16:26:54,0 km/h
2026-01-15 16:27:13,0 km/h
2026-01-15 16:27:32,0 km/h
2026-01-15 16:27:51,0 km/h
2026-01-15 16:28:10,0 km/h
2026-01-15 16:28:29,0 km/h
2026-01-15 16:28:48,0 km/h
2026-01-15 16:29:07,0 km/h
2026-01-15 16:29:26,0 km/h
2026-01-15 16:29:45,0 km/h
2026-01-15 16:30:04,0 km/h
2026-01-15 16:30:23,0 km/h
2026-01-15 16:47:53,0 km/h
2026-01-15 16:48:17,0 km/h
2026-01-15 16:48:41,0 km/h
2026-01-15 16:49:05,0 km/h
2026-01-15 16:49:29,0 km/h
2026-01-15 16:49:48,0 km/h
2026-01-15 16:50:07,0 km/h
2026-01-15 16:50:26,0 km/h
2026-01-15 16:50:45,0 km/h
2026-01-15 16:51:04,0 km/h
2026-01-15 16:51:23,0 km/h
2026-01-15 16:51:42,0 km/h
2026-01-15 16:52:01,0 km/h
2026-01-15 16:52:20,0 km/h
2026-01-15 16:52:39,0 km/h
2026-01-15 16:52:58,0 km/h
2026-01-15 16:53:17,0 km/h
2026-01-15 16:53:36,0 km/h
2026-01-15 16:53:55,0 km/h
2026-01-15 16:54:14,0 km/h
2026-01-15 16:56:08,0 km/h
2026-01-15 16:56:32,0 km/h
2026-01-15 16:56:55,0 km/h
2026-01-15 16:57:19,0 km/h
2026-01-15 16:57:40,0 km/h
2026-01-15 16:57:59,0 km/h
2026-01-15 16:58:18,0 km/h
2026-01-15 16:58:37,0 km/h
2026-01-15 16:58:56,0 km/h
2026-01-15 16:59:15,0 km/h
2026-01-15 16:59:34,0 km/h
2026-01-15 16:59:53,0 km/h

