Label,Start_time,End_time,Duration,Acceleration X,Acceleration Y,Acceleration Z,Gyroscope X,Gyroscope Y,Gyroscope Z
"Conduite non agressive","16/01/2026 16:18:00","16/01/2026 16:18:05",4.27,"[-0.1,0,0,0,0,0,-0.1,0,-0.1,0,0.2,-0.1,-0.1,0,-0.3,-0.1,-0.1,0,0,0,0,0.1,-0.3,-0.2,0,0,0,0,0.1,-0.2,0,0.1]","[0,0,0,0,0.3,0,0,0,0,-0.1,0.2,-0.1,0,0,0.2,0,0,0,0,0,0,0,0.3,-0.1,0,0,0,0,0,0.1,0,0]","[-0.5,-0.1,0.1,-0.1,-0.2,0.1,-0.1,0.1,0.1,-0.4,0.3,-0.2,0,0.1,0,-0.1,0.1,0.1,0,0.1,0.1,-0.1,0.3,0.1,0,0,0.1,-0.1,0.2,-0.4,-0.2,0.1]","[-0.4,1.6,0.6,-0.6,-2.2,-0.3,-1.5,0.9,1.1,-1.5,-4,1.6,1.6,1.2,-6.4,1.8,4.4,1.3,-0.2,-0.1,0.1,-1.8,1.3,-0.1,0.3,0.8,0.3,0.8,13.4,3.1,0,1.3]","[0,1.5,0.2,-1,1,-0.9,-0.8,0.1,0.3,3.6,5,-4.5,-1.9,-0.6,1.3,-2.5,-4.4,-1.7,-0.2,-0.2,-0.6,4,-0.5,-2.2,-1.3,-0.1,-1.5,-0.1,-6.9,-9,1.3,0.5]","[1.1,-0.2,0.3,0.2,-1.1,1.4,0.2,-0.4,0.9,0.1,-0.4,0.6,-0.1,-0.3,0.7,-0.2,-0.8,-0.4,0.1,0,0,-0.4,0.2,0.7,0.3,0.3,0.1,-0.1,-2.9,0.4,0.3,-0.6]"
"Virage serre a droite","16/01/2026 16:18:05","16/01/2026 16:18:15",10.02,"[0.1,0,0,0,0,0,0,0,0,0,0,-0.4,0,0.1,0,0,-0.1,0,0,-0.1,0,0,-0.1,0,0,0,0,0,0.1,-0.1,-0.1,-0.1,0,0.1,0,0,0.1]","[0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0.1,0.1,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,0,0,0,0,0]","[0,-0.1,0,0.1,0,0,-0.1,0.1,0.1,0.1,0,0.4,-0.2,0.1,0.1,-0.2,0,0,0.1,0,0.1,0,-0.2,0,0,0,0,0,-0.1,0,0,-0.2,0.2,0,-0.1,0.1,0.1]","[-0.6,-0.7,0.8,-0.7,-0.8,-0.4,-0.4,0.6,0.8,-1.7,-0.2,-0.8,2.3,0.4,-0.9,-0.4,0,1.3,-0.6,1,0.7,1,-2.8,0.1,-0.4,-0.2,-0.4,-0.7,-0.5,-2.1,1.4,0.1,-2.5,-1,0.3,-2.7,-9.1]","[0.2,0.1,0,0.1,-0.1,-0.3,0.6,-0.2,0.2,-0.2,0.9,-1.7,-1.6,0.1,-0.8,-0.5,1.4,-2.5,-2.3,-1,-0.2,-0.1,3,0.6,0.6,-0.5,0.2,-0.6,0.2,-0.5,-0.5,-0.6,1.9,0.2,0.2,0.2,9.3]","[-0.1,0.2,-0.1,0,0.1,0.1,-0.1,-0.4,0,0.2,0.3,1.2,-0.3,0.2,0.2,0.1,0.1,-0.5,-0.1,-0.1,-0.4,-0.3,0.5,-0.2,0,0.1,0.1,0,0.4,0.2,0.2,-0.6,-0.2,0.2,0.3,0.1,1.5]"
"Acceleration","16/01/2026 16:18:15","16/01/2026 16:18:22",7.55,"[0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.1,0.1,-0.1,0,0.1,0,0.1,0.1,0.1,-0.2,0,-0.1,0,0.1,-0.1,0,0.1,0,0.5]","[-1.1,0,0.4,0,1.7,0.4,-0.1,0.8,0.2,-0.2,-0.1,-2.5,0.1,0.4,-0.9,1.2,0.9,-0.5,2]","[-1.4,-0.2,0.2,0.7,0.3,-0.2,-0.1,-0.1,0.2,0.2,0.6,-1.3,0,-0.4,-0.3,0.1,0.6,0.6,0.7]","[-0.4,0.3,0.6,0.3,0.2,0.3,0.1,0.1,1.1,1.1,0.4,-0.6,-0.1,0,0.1,-0.1,0,0.3,0.7]"
"Conduite non agressive","16/01/2026 16:18:22","16/01/2026 16:18:27",4.72,"[0,0,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0]","[0,0,0,0,0,0,0.2,0,0,0,0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,-0.1,-0.1,0.2,0,-0.1,0,0,0,0.1,0,0,0,-0.1,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0.1,0,-0.1]","[0.8,-0.2,-0.1,0.6,-0.9,1.8,2.8,-1.2,-1.6,-0.4,0.2,0.2,0.9,0.9,0.8,-0.5,0,-0.6,0.7,0.3,0,-0.3,-0.1,1.3,-0.1,-1.1,0,0.1,-0.1,0.2,0.9,0.7,0,-0.3,-0.9]","[0.2,0.1,-0.2,-0.5,-2.1,-4.7,0.9,0.6,-0.6,-0.6,-0.5,-0.5,1.1,0.2,0,-0.3,0,0.2,0.5,0.6,0.1,-0.4,0.5,0.2,-0.2,-0.4,-0.1,-0.1,-0.1,0.2,0.3,-0.6,0.3,0,-0.3]","[-0.1,0.1,0.1,0,0,0.6,-0.2,-0.1,0.1,0.5,0.3,-0.2,-0.1,-0.6,-0.2,0.2,-0.1,0.1,-0.2,0,-0.1,-0.2,-0.4,-0.1,0.1,0.3,0.1,-0.1,0,-0.1,-0.3,-0.1,0,-0.1,-0.2]"
"Changement de voie a droite","16/01/2026 16:18:27","16/01/2026 16:18:37",10.01,"[0,0.1,0,0,0,0,0,0.1,0,0,0,0.1,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.2,-0.3]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1]","[0.1,-0.1,-0.1,0,0,0,0,-0.1,0,0,0,-0.1,0,0.1,0,-0.1,-0.1,-0.1,0.1,0.1,0,0,0.1,0,0,0.1,0.1,0,0,0,0,0,-0.1,0,0.6,-0.4]","[0.8,-0.6,-0.9,1.1,0.3,0.3,-0.3,-0.1,0.7,-0.4,-0.5,0.2,-1.4,0.6,-1.3,-1.1,0.4,0.8,-0.1,-0.4,-0.4,-0.4,0.8,0.3,0.3,1.2,-0.2,-1.1,-0.5,0,0.6,4.2,-2,-5.3,1.6,5.3]","[-0.4,0,0,0.2,-0.1,-0.2,-0.2,-0.1,0.1,0,-0.1,-0.2,3,-0.2,0.3,-0.3,-0.3,1,1.1,-0.4,-0.1,0.1,-0.2,-0.2,-0.3,-0.1,-0.2,-0.2,0.1,0,-1,-0.8,-2.9,-3.1,-6.4,-1.5]","[0.2,0,0,0,-0.1,0.2,0.2,0.6,0.1,-0.1,0,-0.1,0.1,0,0.2,0.1,-0.1,-0.1,-0.4,0,0.2,0.1,0,-0.2,-0.3,0,0,0.3,0.1,0.1,-0.4,-1.8,-0.5,0.5,3.8,3.6]"
"Conduite non agressive","16/01/2026 16:18:37","16/01/2026 16:18:43",6.18,"[0.1,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.2,0.1,-0.1,0,0,0,0.1,0.1,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,-0.1,0,0,0.1,0,0,0.1,0,0,0]","[0,-0.1,0,0,0,0,0.1,0,-0.1,-0.1,0,0,0,0,0,0.1,0,0,-0.1,0.1,0,0,0,0.1,-0.1,0,-0.1,0.2,0.2,0,0,0,0.2,-0.6,0.3,-0.1,0.2,-0.1,-0.2,0,0.1,0,0,0,0]","[0,-1.4,-0.3,0,-0.2,-0.3,1.2,-0.8,-1.7,-0.7,0.8,-0.7,-0.1,1.9,0.4,-0.6,-0.3,-0.2,-1.7,0.3,-0.4,-0.7,0.8,-0.1,-0.7,0.1,-0.5,0.8,1.9,1.3,0,0.8,2.1,-0.7,2,0.9,0,0.1,0.3,0.4,-0.9,-0.3,-1.4,-1.1,-0.9]","[1.4,0.1,0.2,0,0.8,-0.6,0.5,-1,0,0,-0.1,-0.2,0.3,-0.4,0.1,0.3,0.7,-0.2,-0.2,-0.2,0.1,0,0.6,0.2,-0.6,-0.2,0.5,-0.2,-1.1,0.7,0.3,-1.6,4.5,4.5,0.7,-0.9,-3.2,-0.2,1,1.2,0.8,0.2,0,-0.8,0.3]","[-0.1,0.2,0,0.1,0,-0.1,-0.2,-0.2,0.2,-0.2,0,0.1,-0.1,-0.4,-0.2,0.3,0.4,0.1,0.2,-0.2,0.1,0.1,0,-0.2,0.8,0,0,-0.4,-0.8,-0.3,-0.1,-0.3,0.2,-0.9,-0.4,0,-0.2,0.2,0.1,-0.1,-0.1,0,0.2,0.1,0.3]"
"Fin","16/01/2026 16:18:43","16/01/2026 16:18:43",0.00,"[]","[]","[]","[]","[]","[]"
