Time,Speed(km/h)
2026-01-21 15:00:08,0
2026-01-21 15:00:37,0
2026-01-21 15:01:06,0
2026-01-21 15:01:34,0
2026-01-21 15:02:02,0
2026-01-21 15:02:31,0
2026-01-21 15:03:00,0
2026-01-21 15:03:28,0
2026-01-21 15:03:57,0
2026-01-21 15:04:25,0
2026-01-21 15:04:54,0
2026-01-21 15:05:22,0
2026-01-21 15:05:51,0
2026-01-21 15:06:19,0
2026-01-21 15:06:48,0
2026-01-21 15:07:16,0
2026-01-21 15:07:45,0
2026-01-21 15:09:23,0
2026-01-21 15:10:48,0
2026-01-21 15:12:14,0
2026-01-21 15:14:04,0
2026-01-21 15:14:32,1
2026-01-21 15:15:01,10
2026-01-21 15:15:30,15
2026-01-21 15:15:58,20
2026-01-21 15:16:26,6
2026-01-21 15:16:55,15
2026-01-21 15:17:24,1
2026-01-21 15:19:12,0
2026-01-21 15:20:37,0
2026-01-21 15:22:03,0
2026-01-21 15:36:46,0
2026-01-21 15:37:15,0
2026-01-21 15:37:43,0
2026-01-21 15:39:13,0
2026-01-21 15:40:39,0
2026-01-21 15:42:05,0
2026-01-21 15:43:29,0
2026-01-21 15:43:58,0
2026-01-21 15:44:26,0
2026-01-21 15:44:55,2
2026-01-21 15:45:23,42
2026-01-21 15:45:52,7
2026-01-21 15:46:20,31
2026-01-21 15:46:49,47
2026-01-21 15:47:17,26
2026-01-21 15:47:46,25
2026-01-21 15:48:14,47
2026-01-21 15:48:43,49
2026-01-21 15:49:11,0
2026-01-21 15:49:40,45
2026-01-21 15:50:08,31
2026-01-21 15:50:37,36
2026-01-21 15:51:05,2
2026-01-21 15:51:34,38
2026-01-21 15:52:02,17
2026-01-21 15:52:31,0
2026-01-21 15:52:59,0
2026-01-21 15:53:28,0
2026-01-21 15:53:57,20
2026-01-21 15:54:25,0
2026-01-21 15:54:53,1
2026-01-21 15:55:22,8
2026-01-21 15:55:50,0
2026-01-21 15:56:19,0
2026-01-21 15:58:13,72
2026-01-21 15:59:09,2
2026-01-21 15:59:38,39
2026-01-21 16:00:06,13
2026-01-21 16:00:35,37
2026-01-21 16:01:03,1
2026-01-21 16:01:32,0
2026-01-21 16:02:00,42
2026-01-21 16:02:29,45
2026-01-21 16:02:57,0
2026-01-21 16:03:26,26
2026-01-21 16:03:54,0
2026-01-21 16:04:23,0
2026-01-21 16:04:51,0
2026-01-21 16:05:20,11
2026-01-21 16:05:48,0
2026-01-21 16:06:17,36
2026-01-21 16:06:45,0
2026-01-21 16:07:14,0
2026-01-21 16:07:42,1
2026-01-21 16:08:11,3
2026-01-21 16:08:39,0
2026-01-21 16:09:08,2
2026-01-21 16:09:36,0
2026-01-21 16:11:14,0
2026-01-21 16:12:39,0
2026-01-21 16:14:04,0
2026-01-21 16:49:04,0
2026-01-21 16:49:32,1
2026-01-21 16:50:01,2
2026-01-21 16:50:29,0
2026-01-21 16:50:58,6
2026-01-21 16:51:26,0
2026-01-21 16:52:54,0
2026-01-21 16:53:22,0
2026-01-21 16:55:01,0
2026-01-21 16:56:13,6
2026-01-21 16:56:42,0
2026-01-21 16:57:11,0
2026-01-21 16:57:39,28
2026-01-21 16:58:07,12
2026-01-21 16:58:36,28
2026-01-21 16:59:05,0
2026-01-21 16:59:33,0
2026-01-21 17:00:02,5
2026-01-21 17:00:30,0
2026-01-21 17:02:17,4
2026-01-21 17:03:53,0
2026-01-21 17:05:19,0
2026-01-21 17:06:45,0
2026-01-21 17:10:02,2
2026-01-21 17:10:30,3
2026-01-21 17:10:59,3
2026-01-21 17:12:45,0
2026-01-21 17:14:11,0
2026-01-21 17:15:37,0
2026-01-21 17:48:45,2
2026-01-21 17:55:20,0
2026-01-21 17:56:46,0
2026-01-21 17:58:11,0
