"Time","capability"
2026-01-14 16:01:36,0 km/h
2026-01-14 16:03:11,0 km/h
2026-01-14 16:03:35,0 km/h
2026-01-14 16:03:58,0 km/h
2026-01-14 16:04:22,0 km/h
2026-01-14 16:04:46,0 km/h
2026-01-14 16:05:10,0 km/h
2026-01-14 16:05:33,0 km/h
2026-01-14 16:05:57,0 km/h
2026-01-14 16:06:21,0 km/h
2026-01-14 16:06:45,0 km/h
2026-01-14 16:07:19,0 km/h
2026-01-14 16:07:43,0 km/h
2026-01-14 16:08:07,0 km/h
2026-01-14 16:08:30,0 km/h
2026-01-14 16:08:54,0 km/h
2026-01-14 16:09:18,0 km/h
2026-01-14 16:09:41,0 km/h
2026-01-14 16:10:05,0 km/h
2026-01-14 16:10:29,0 km/h
2026-01-14 16:10:53,0 km/h
2026-01-14 16:11:16,0 km/h
2026-01-14 16:11:40,0 km/h
2026-01-14 16:12:04,0 km/h
2026-01-14 16:12:28,0 km/h
2026-01-14 16:12:51,0 km/h
2026-01-14 16:13:29,0 km/h
2026-01-14 16:13:47,0 km/h
2026-01-14 16:14:07,0 km/h
2026-01-14 16:14:26,0 km/h
2026-01-14 16:14:45,0 km/h
2026-01-14 16:15:03,0 km/h
2026-01-14 16:15:23,0 km/h
2026-01-14 16:15:42,0 km/h
2026-01-14 16:16:01,0 km/h
2026-01-14 16:16:20,0 km/h
2026-01-14 16:16:39,0 km/h
2026-01-14 16:16:58,0 km/h
2026-01-14 16:17:17,0 km/h
2026-01-14 16:17:36,0 km/h
2026-01-14 16:17:55,0 km/h
2026-01-14 16:18:14,0 km/h
2026-01-14 17:09:00,0 km/h
2026-01-14 17:09:23,0 km/h
2026-01-14 17:09:47,0 km/h
2026-01-14 17:10:06,0 km/h
2026-01-14 17:10:25,0 km/h
2026-01-14 17:10:44,0 km/h
2026-01-14 17:11:03,0 km/h
2026-01-14 17:11:22,0 km/h
2026-01-14 17:11:41,0 km/h
2026-01-14 17:12:00,0 km/h
2026-01-14 17:12:19,0 km/h
2026-01-14 17:12:38,0 km/h
2026-01-14 17:12:57,0 km/h
2026-01-14 17:13:16,0 km/h
2026-01-14 17:13:35,0 km/h
2026-01-14 17:13:54,0 km/h
2026-01-14 17:14:13,0 km/h
2026-01-14 17:14:32,0 km/h
2026-01-14 17:14:51,0 km/h
2026-01-14 17:16:38,0 km/h
2026-01-14 17:17:02,0 km/h
2026-01-14 17:17:26,0 km/h
2026-01-14 17:17:48,0 km/h
2026-01-14 17:18:06,0 km/h
2026-01-14 17:18:26,0 km/h
2026-01-14 17:18:44,0 km/h
2026-01-14 17:19:04,0 km/h
2026-01-14 17:19:23,0 km/h
2026-01-14 17:19:42,0 km/h
2026-01-14 17:20:01,0 km/h
2026-01-14 17:20:20,0 km/h
2026-01-14 17:20:39,0 km/h
2026-01-14 17:20:58,0 km/h
2026-01-14 17:21:17,0 km/h
2026-01-14 17:21:36,0 km/h
2026-01-14 17:21:55,0 km/h
2026-01-14 17:22:14,0 km/h
2026-01-14 17:22:33,0 km/h
2026-01-14 17:24:20,0 km/h
2026-01-14 17:24:43,0 km/h
2026-01-14 17:25:07,0 km/h
2026-01-14 17:25:31,0 km/h
2026-01-14 17:25:55,0 km/h
2026-01-14 17:26:14,0 km/h
2026-01-14 17:26:33,0 km/h
2026-01-14 17:26:52,0 km/h
2026-01-14 17:27:11,0 km/h
2026-01-14 17:27:30,0 km/h
2026-01-14 17:27:49,0 km/h
2026-01-14 17:28:08,0 km/h
2026-01-14 17:28:27,0 km/h
2026-01-14 17:28:46,0 km/h
2026-01-14 17:29:05,0 km/h
2026-01-14 17:29:24,0 km/h
2026-01-14 17:29:43,0 km/h
2026-01-14 17:30:02,0 km/h
2026-01-14 17:30:21,0 km/h
2026-01-14 17:30:40,0 km/h
2026-01-14 18:03:43,0 km/h
2026-01-14 18:04:02,0 km/h
2026-01-14 18:04:21,0 km/h
2026-01-14 18:04:40,0 km/h
2026-01-14 18:04:59,0 km/h
2026-01-14 18:05:18,0 km/h
2026-01-14 18:05:37,0 km/h
2026-01-14 18:05:56,0 km/h
2026-01-14 18:06:15,0 km/h
2026-01-14 18:06:34,0 km/h
2026-01-14 18:06:53,0 km/h
2026-01-14 18:07:12,0 km/h
2026-01-14 18:07:31,0 km/h
2026-01-14 18:07:50,0 km/h
2026-01-14 18:08:09,0 km/h
2026-01-14 18:08:28,0 km/h
2026-01-14 18:16:08,0 km/h
2026-01-14 18:16:32,0 km/h
2026-01-14 18:16:55,0 km/h
2026-01-14 18:17:19,0 km/h
2026-01-14 18:17:43,0 km/h
2026-01-14 18:18:07,0 km/h
2026-01-14 18:18:30,0 km/h
2026-01-14 18:19:02,0 km/h
2026-01-14 18:19:21,0 km/h
2026-01-14 18:19:40,0 km/h
2026-01-14 18:19:59,0 km/h
2026-01-14 18:20:18,0 km/h
2026-01-14 18:20:37,0 km/h
2026-01-14 18:20:56,0 km/h
2026-01-14 18:21:15,0 km/h
2026-01-14 18:21:34,0 km/h
2026-01-14 18:21:53,0 km/h
2026-01-14 18:22:12,0 km/h
2026-01-14 18:22:31,0 km/h
2026-01-14 18:22:50,0 km/h
2026-01-14 18:23:09,0 km/h
2026-01-14 18:23:28,0 km/h
2026-01-14 18:23:47,0 km/h
2026-01-14 21:11:22,0 km/h
2026-01-14 21:11:41,0 km/h
2026-01-14 21:12:00,0 km/h
2026-01-14 21:12:19,0 km/h
2026-01-14 21:12:38,0 km/h
2026-01-14 21:12:57,0 km/h
2026-01-14 21:13:16,0 km/h
2026-01-14 21:13:35,0 km/h
2026-01-14 21:13:54,0 km/h
2026-01-14 21:14:13,0 km/h
2026-01-14 21:14:32,0 km/h
2026-01-14 21:14:51,0 km/h
2026-01-14 21:15:10,0 km/h
2026-01-14 21:15:29,0 km/h
2026-01-14 21:15:48,0 km/h
2026-01-14 21:16:07,0 km/h
2026-01-15 00:03:36,0 km/h
2026-01-15 00:03:55,0 km/h
2026-01-15 00:04:14,0 km/h
2026-01-15 00:04:33,0 km/h
2026-01-15 00:04:52,0 km/h
2026-01-15 00:05:11,0 km/h
2026-01-15 00:05:30,0 km/h
2026-01-15 00:05:49,0 km/h
2026-01-15 00:06:08,0 km/h
2026-01-15 00:06:27,0 km/h
2026-01-15 00:06:46,0 km/h
2026-01-15 00:07:05,0 km/h
2026-01-15 00:07:24,0 km/h
2026-01-15 00:07:43,0 km/h
2026-01-15 00:08:03,0 km/h
2026-01-15 00:08:21,0 km/h
2026-01-15 02:55:54,0 km/h
2026-01-15 02:56:13,0 km/h
2026-01-15 02:56:32,0 km/h
2026-01-15 02:56:51,0 km/h
2026-01-15 02:57:10,0 km/h
2026-01-15 02:57:29,0 km/h
2026-01-15 02:57:48,0 km/h
2026-01-15 02:58:07,0 km/h
2026-01-15 02:58:26,0 km/h
2026-01-15 02:58:45,0 km/h
2026-01-15 02:59:04,0 km/h
2026-01-15 02:59:23,0 km/h
2026-01-15 02:59:42,0 km/h
2026-01-15 03:00:01,0 km/h
2026-01-15 03:00:20,0 km/h
2026-01-15 03:00:39,0 km/h
2026-01-15 05:48:07,0 km/h
2026-01-15 05:48:27,0 km/h
2026-01-15 05:48:45,0 km/h
2026-01-15 05:49:04,0 km/h
2026-01-15 05:49:24,0 km/h
2026-01-15 05:49:42,0 km/h
2026-01-15 05:50:02,0 km/h
2026-01-15 05:50:21,0 km/h
2026-01-15 05:50:39,0 km/h
2026-01-15 05:50:59,0 km/h
2026-01-15 05:51:18,0 km/h
2026-01-15 05:51:36,0 km/h
2026-01-15 05:51:56,0 km/h
2026-01-15 05:52:15,0 km/h
2026-01-15 05:52:34,0 km/h
2026-01-15 05:52:53,0 km/h
2026-01-15 08:40:22,0 km/h
2026-01-15 08:40:41,0 km/h
2026-01-15 08:41:00,0 km/h
2026-01-15 08:41:18,0 km/h
2026-01-15 08:41:38,0 km/h
2026-01-15 08:41:57,0 km/h
2026-01-15 08:42:16,0 km/h
2026-01-15 08:42:35,0 km/h
2026-01-15 08:42:54,0 km/h
2026-01-15 08:43:13,0 km/h
2026-01-15 08:43:32,0 km/h
2026-01-15 08:43:51,0 km/h
2026-01-15 08:44:10,0 km/h
2026-01-15 08:44:29,0 km/h
2026-01-15 08:44:48,0 km/h
2026-01-15 08:45:07,0 km/h
2026-01-15 10:23:44,0 km/h
2026-01-15 10:24:15,0 km/h
2026-01-15 10:24:39,0.310 km/h
2026-01-15 10:25:03,0 km/h
2026-01-15 10:25:26,0 km/h
2026-01-15 10:25:50,0 km/h
2026-01-15 10:26:14,4.55 km/h
2026-01-15 10:26:50,0 km/h
2026-01-15 10:27:09,0 km/h
2026-01-15 10:27:28,0 km/h
2026-01-15 10:27:47,0 km/h
2026-01-15 10:28:06,0 km/h
2026-01-15 10:28:25,0 km/h
2026-01-15 10:28:44,0 km/h
2026-01-15 10:29:03,0 km/h
2026-01-15 10:29:22,0 km/h
2026-01-15 10:29:41,0 km/h
2026-01-15 10:30:00,0 km/h
2026-01-15 10:30:19,0 km/h
2026-01-15 10:30:38,0 km/h
2026-01-15 10:30:57,0 km/h
2026-01-15 10:31:16,0 km/h
2026-01-15 10:31:35,0 km/h
2026-01-15 10:32:42,0 km/h
2026-01-15 10:33:06,0 km/h
2026-01-15 10:33:30,0 km/h
2026-01-15 10:33:54,0 km/h
2026-01-15 10:36:10,0 km/h
2026-01-15 10:36:29,0 km/h
2026-01-15 10:36:48,0 km/h
2026-01-15 10:37:07,0 km/h
2026-01-15 10:37:27,0 km/h
2026-01-15 10:37:45,0 km/h
2026-01-15 10:38:04,0 km/h
2026-01-15 10:38:24,0 km/h
2026-01-15 10:38:42,0 km/h
2026-01-15 10:39:02,0 km/h
2026-01-15 10:39:21,0 km/h
2026-01-15 10:39:39,0 km/h
2026-01-15 10:39:59,0 km/h
2026-01-15 10:43:24,0 km/h
2026-01-15 10:47:58,0 km/h
2026-01-15 10:48:22,0 km/h
2026-01-15 10:48:46,0 km/h
2026-01-15 10:49:10,0 km/h
2026-01-15 10:49:33,0 km/h
2026-01-15 10:49:57,0 km/h
2026-01-15 10:50:21,0 km/h
2026-01-15 10:50:45,0 km/h
2026-01-15 10:51:08,0 km/h
2026-01-15 10:51:32,0 km/h
2026-01-15 10:51:56,0 km/h
2026-01-15 10:52:20,0 km/h
2026-01-15 10:52:43,0 km/h
2026-01-15 10:53:07,0 km/h
2026-01-15 10:53:31,0 km/h
2026-01-15 10:56:39,0 km/h
2026-01-15 10:57:03,0 km/h
2026-01-15 10:57:26,0 km/h
2026-01-15 10:57:50,0 km/h
2026-01-15 10:58:14,0 km/h
